sep=;
series_id;round;configuration;time_seconds;agent;agent_side;move_action;rotate_action;combined_action;behavior_state;opening_plan;sword_x;sword_y;tip_x;tip_y;handle_x;handle_y;my_threat_distance;opponent_threat_distance;threat_advantage;sword_distance
S03;1;H2H_ML_Left_FSM_Right;3,8265;ML;Left;Down;None;Down_None;Defending;;-3,2684;-0,6642;-3,0394;-1,8421;-3,4974;0,5137;11,1287;1,8547;-9,2741;2,4863
S03;1;H2H_ML_Left_FSM_Right;3,9276;FSM;Right;Left;None;Left_None;Attack;Upper;-5,3303;-2,4727;-6,5041;-2,7222;-4,1565;-2,2232;1,5861;11,1532;9,5671;2,5293
S03;1;H2H_ML_Left_FSM_Right;3,9276;ML;Left;DownLeft;None;DownLeft_None;Defending;;-3,3239;-0,9326;-3,0949;-2,1106;-3,5529;0,2453;11,1532;1,5861;-9,5671;2,5293
S03;1;H2H_ML_Left_FSM_Right;4,0278;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-5,5710;-2,5894;-6,7447;-2,8389;-4,3972;-2,3399;1,3207;11,2833;9,9626;2,5373
S03;1;H2H_ML_Left_FSM_Right;4,0278;ML;Left;Down;None;Down_None;Defending;;-3,4753;-1,1589;-3,2463;-2,3368;-3,7043;0,0190;11,2833;1,3207;-9,9626;2,5373
S03;1;H2H_ML_Left_FSM_Right;4,1288;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-5,8317;-2,6638;-7,0054;-2,9133;-4,6579;-2,4143;1,0498;11,3191;10,2692;2,6127
S03;1;H2H_ML_Left_FSM_Right;4,1288;ML;Left;DownLeft;None;DownLeft_None;Defending;;-3,5297;-1,4279;-3,3007;-2,6058;-3,7587;-0,2499;11,3191;1,0498;-10,2692;2,6127
S03;1;H2H_ML_Left_FSM_Right;4,2289;FSM;Right;Left;None;Left_None;Attack;Upper;-6,0765;-2,7699;-7,2503;-3,0194;-4,9027;-2,5204;0,7842;11,6233;10,8391;2,6247
S03;1;H2H_ML_Left_FSM_Right;4,2289;ML;Left;Left;Clockwise;Left_Clockwise;Defending;;-3,7197;-1,6148;-3,6150;-2,8103;-3,8243;-0,4194;11,6233;0,7842;-10,8391;2,6247
S03;2;H2H_ML_Left_FSM_Right;0,0000;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;4,9769;-0,9994;4,9141;0,1989;5,0397;-2,1978;13,3666;13,4384;0,0718;9,9606
S03;2;H2H_ML_Left_FSM_Right;0,0000;ML;Left;UpRight;None;UpRight_None;Neutral;;-4,9837;-0,9831;-4,9837;0,2169;-4,9837;-2,1831;13,4384;13,3666;-0,0718;9,9606
S03;2;H2H_ML_Left_FSM_Right;0,1013;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;4,7877;-0,9994;4,4168;0,1418;5,1585;-2,1407;12,8716;13,2100;0,3384;9,6309
S03;2;H2H_ML_Left_FSM_Right;0,1013;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-4,8424;-0,8674;-4,7169;0,3261;-4,9678;-2,0608;13,2100;12,8716;-0,3384;9,6309
S03;2;H2H_ML_Left_FSM_Right;0,2020;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;4,5034;-0,9994;3,8498;0,0070;5,1569;-2,0058;12,2891;12,6430;0,3539;9,0748
S03;2;H2H_ML_Left_FSM_Right;0,2020;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-4,5700;-0,8386;-4,1399;0,2817;-5,0000;-1,9589;12,6430;12,2891;-0,3539;9,0748
S03;2;H2H_ML_Left_FSM_Right;0,3032;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;4,2119;-0,9994;3,3201;-0,1965;5,1037;-1,8024;11,7246;12,0586;0,3340;8,4929
S03;2;H2H_ML_Left_FSM_Right;0,3032;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-4,2794;-0,8364;-3,5741;0,1344;-4,9848;-1,8073;12,0586;11,7246;-0,3340;8,4929
S03;2;H2H_ML_Left_FSM_Right;0,4037;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;3,9219;-0,9994;2,8527;-0,4546;4,9911;-1,5442;11,2068;11,5019;0,2951;7,9131
S03;2;H2H_ML_Left_FSM_Right;0,4037;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,9895;-0,8363;-3,0569;-0,0811;-4,9221;-1,5915;11,5019;11,2068;-0,2951;7,9131
S03;2;H2H_ML_Left_FSM_Right;0,5046;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Lower;3,6310;-0,9994;2,4573;-0,7499;4,8048;-1,2489;10,7518;10,9922;0,2403;7,3315
S03;2;H2H_ML_Left_FSM_Right;0,5046;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,6986;-0,8363;-2,6024;-0,3482;-4,7949;-1,3243;10,9922;10,7518;-0,2403;7,3315
S03;2;H2H_ML_Left_FSM_Right;0,6052;FSM;Right;Left;None;Left_None;Opening;Lower;3,3407;-0,9994;2,1423;-0,9366;4,5390;-1,0622;10,4027;10,5487;0,1460;6,7509
S03;2;H2H_ML_Left_FSM_Right;0,6052;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,4082;-0,8363;-2,2230;-0,6485;-4,5935;-1,0240;10,5487;10,4027;-0,1460;6,7509
S03;2;H2H_ML_Left_FSM_Right;0,7187;FSM;Right;Left;None;Left_None;Opening;Lower;3,0134;-0,9994;1,8150;-0,9366;4,2117;-1,0622;10,0838;10,1488;0,0649;6,0965
